c_Colonia,c_CodigoPostal,Nombre del asentamiento,,,,,,,,,
1822,82805,La Joya,,,,,,,,,
1822,83960,Barrio Guadalupe,,,,,,,,,
1822,86495,Arroyo Hondo 1ra. Sección (Santa Teresa A),,,,,,,,,
1822,93603,Chapultepec,,,,,,,,,
1822,97198,Kukulcan,,,,,,,,,
1823,11529,Ampliación Granada,,,,,,,,,
1823,22225,Pórticos de La Mesa,,,,,,,,,
1823,25200,Jardines de Versalles,,,,,,,,,
1823,30844,Miguel Alemán,,,,,,,,,
1823,33483,El Tule (Río Tuaripas),,,,,,,,,
1823,35974,Huarichic (Huariche),,,,,,,,,
1823,37642,Santa Bárbara,,,,,,,,,
1823,40054,Iguala 2000,,,,,,,,,
1823,43710,San Nicolás Cebolletas (Cebolletas),,,,,,,,,
1823,47190,San Jose,,,,,,,,,
1823,52170,San Jerónimo Chicahualco,,,,,,,,,
1823,60477,Apúndaro,,,,,,,,,
1823,62747,La Esperanza,,,,,,,,,
1823,63533,Santos Rojas,,,,,,,,,
1823,67204,Crispín Treviño,,,,,,,,,
1823,69805,Nueva Reforma,,,,,,,,,
1823,74710,Santiago Mitepec,,,,,,,,,
1823,76754,Los Sabinos,,,,,,,,,
1823,79323,Santo Niño,,,,,,,,,
1823,82806,Vicente Guerrero,,,,,,,,,
1823,83960,Bellavista,,,,,,,,,
1823,86474,Las Coloradas 1ra. Sección,,,,,,,,,
1823,89744,Adolfo Ruiz Cortines,,,,,,,,,
1823,92776,Chiconcoa,,,,,,,,,
1823,97256,Libertad III,,,,,,,,,
1824,22000,Zona Norte,,,,,,,,,
1824,33485,Santa Rosalía de Nabogame,,,,,,,,,
1824,35955,Santa Rosa,,,,,,,,,
1824,37643,El Tropezón,,,,,,,,,
1824,40054,Luis Quintero,,,,,,,,,
1824,43710,Santa Ana Hueytlalpan Centro,,,,,,,,,
1824,47195,San Vicente,,,,,,,,,
1824,52172,Alsacia,,,,,,,,,
1824,60464,Garichico,,,,,,,,,
1824,62747,Potrero Verde,,,,,,,,,
1824,63543,Sixto Santiago Lincer,,,,,,,,,
1824,67204,David Cavazos,,,,,,,,,
1824,69806,Benito Juárez,,,,,,,,,
1824,74710,Santa Ana Jolalpan,,,,,,,,,
1824,79323,Las Lomas,,,,,,,,,
1824,82807,Bonifacio Rojas,,,,,,,,,
1824,83960,Barrio Luz Molina,,,,,,,,,
1824,86475,Azucena 5ta. Sección (El Apompal),,,,,,,,,
1824,89735,La Reforma,,,,,,,,,
1824,92770,Chijolar,,,,,,,,,
1824,97256,Lol-Be,,,,,,,,,
1825,25250,Villas de San Carlos,,,,,,,,,
1825,30844,Jesús Carranza,,,,,,,,,
1825,33485,El Nopal,,,,,,,,,
1825,37643,Laguna Cercada,,,,,,,,,
1825,40054,Residencial Bugambilias,,,,,,,,,
1825,43710,Santa María Asunción,,,,,,,,,
1825,47195,Tuna de Abajo,,,,,,,,,
1825,52172,Aquitania,,,,,,,,,
1825,60464,Pareo,,,,,,,,,
1825,62756,Sitio del Sol,,,,,,,,,
1825,63549,Sonorita (Las Lechugas),,,,,,,,,
1825,67190,División del Norte,,,,,,,,,
1825,69806,Las Huertas,,,,,,,,,
1825,74710,Xochitepec,,,,,,,,,
1825,76755,Ibiza,,,,,,,,,
1825,79324,Callejón,,,,,,,,,
1825,82806,Potreritos,,,,,,,,,
1825,83960,Luz Molina,,,,,,,,,
1825,86477,Azucena 3ra. Sección (El Triunfo),,,,,,,,,
1825,89740,Graciano Sánchez,,,,,,,,,
1825,92770,Chomotla,,,,,,,,,
1825,97165,Melchor Ocampo II,,,,,,,,,
1826,22020,Chapultepec 9a Sección,,,,,,,,,
1826,25240,Villa Olímpica Oriente,,,,,,,,,
1826,30846,Benito Juárez,,,,,,,,,
